OpenROAD 26Q1-2900-gdf79404cd8 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/fakeram45_256x16.lib
read_db ./results/nangate45/ariane133/base/3_3_place_gp.odb
read_sdc ./results/nangate45/ariane133/base/2_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
estimate_parasitics -placement
Took 11 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    200121
     1000 |     +0.0% |       0 |       0 |             0 |    199121
     2000 |     +0.0% |       0 |       0 |             0 |    198121
     3000 |     +0.0% |       0 |       0 |             0 |    197121
     4000 |     +0.0% |       0 |       0 |             0 |    196121
     5000 |     +0.0% |       0 |       0 |             0 |    195121
     6000 |     +0.0% |       0 |       0 |             0 |    194121
     7000 |     +0.0% |       0 |       0 |             0 |    193121
     8000 |     +0.0% |       0 |       0 |             0 |    192121
     9000 |     +0.0% |       0 |       0 |             0 |    191121
    10000 |     +0.0% |       0 |       0 |             0 |    190121
    11000 |     +0.0% |       0 |       0 |             0 |    189121
    12000 |     +0.0% |       0 |       0 |             0 |    188121
    13000 |     +0.0% |       0 |       0 |             0 |    187121
    14000 |     +0.0% |       0 |       0 |             0 |    186121
    15000 |     +0.0% |       0 |       0 |             0 |    185121
    16000 |     +0.0% |       0 |       0 |             0 |    184121
    17000 |     +0.0% |       0 |       0 |             0 |    183121
    18000 |     +0.0% |       0 |       0 |             0 |    182121
    19000 |     +0.0% |       0 |       0 |             0 |    181121
    20000 |     +0.0% |       0 |       0 |             0 |    180121
    21000 |     +0.0% |       0 |       0 |             0 |    179121
    22000 |     +0.0% |       0 |       0 |             0 |    178121
    23000 |     +0.0% |       0 |       0 |             0 |    177121
    24000 |     +0.0% |       0 |       0 |             0 |    176121
    25000 |     +0.0% |       0 |       2 |             2 |    175121
    26000 |     +0.0% |       0 |       7 |             7 |    174121
    27000 |     +0.0% |       0 |      15 |            15 |    173121
    28000 |     +0.0% |       0 |      15 |            15 |    172121
    29000 |     +0.0% |       0 |      15 |            15 |    171121
    30000 |     +0.0% |       0 |      15 |            20 |    170121
    31000 |     +0.0% |       0 |      19 |            34 |    169121
    32000 |     +0.0% |       0 |      23 |            38 |    168121
    33000 |     +0.0% |       0 |      36 |            51 |    167121
    34000 |     +0.0% |       0 |      36 |            51 |    166121
    35000 |     +0.0% |       0 |      36 |            51 |    165121
    36000 |     +0.0% |       0 |      48 |            63 |    164121
    37000 |     +0.0% |       0 |      48 |            63 |    163121
    38000 |     +0.0% |       0 |      51 |            66 |    162121
    39000 |     +0.0% |       0 |      51 |            66 |    161121
    40000 |     +0.0% |       0 |      51 |            66 |    160121
    41000 |     +0.0% |       0 |      53 |            68 |    159121
