OpenROAD 26Q1-2900-gdf79404cd8 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/fakeram45_256x16.lib
read_db ./results/nangate45/ariane133/base/3_3_place_gp.odb
read_sdc ./results/nangate45/ariane133/base/2_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
estimate_parasitics -placement
Took 10 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    189391
     1000 |     +0.0% |       0 |       0 |             0 |    188391
     2000 |     +0.0% |       0 |       0 |             0 |    187391
     3000 |     +0.0% |       0 |       0 |             0 |    186391
     4000 |     +0.0% |       0 |       0 |             0 |    185391
     5000 |     +0.0% |       0 |       0 |             0 |    184391
     6000 |     +0.0% |       0 |       0 |             0 |    183391
     7000 |     +0.0% |       0 |       0 |             0 |    182391
     8000 |     +0.0% |       0 |       0 |             0 |    181391
     9000 |     +0.0% |       0 |       0 |             0 |    180391
    10000 |     +0.0% |       0 |       0 |             0 |    179391
    11000 |     +0.0% |       0 |       0 |             0 |    178391
    12000 |     +0.0% |       0 |       0 |             0 |    177391
    13000 |     +0.0% |       0 |       0 |             0 |    176391
    14000 |     +0.0% |       0 |       0 |             0 |    175391
    15000 |     +0.0% |       0 |       0 |             0 |    174391
    16000 |     +0.0% |       0 |       0 |             0 |    173391
    17000 |     +0.0% |       0 |       0 |             0 |    172391
    18000 |     +0.0% |       0 |       0 |             0 |    171391
    19000 |     +0.0% |       0 |       0 |             0 |    170391
    20000 |     +0.0% |       0 |       0 |             0 |    169391
    21000 |     +0.0% |       0 |       0 |             0 |    168391
    22000 |     +0.0% |       0 |       0 |             0 |    167391
    23000 |     +0.0% |       0 |       0 |             0 |    166391
    24000 |     +0.0% |       0 |       0 |             0 |    165391
    25000 |     +0.0% |       0 |       0 |             0 |    164391
    26000 |     +0.0% |       0 |       0 |             0 |    163391
    27000 |     +0.0% |       0 |       0 |             0 |    162391
    28000 |     +0.0% |       0 |       5 |             7 |    161391
    29000 |     +0.0% |      10 |      89 |            97 |    160391
    30000 |     +0.0% |      10 |     109 |           119 |    159391
    31000 |     +0.0% |      10 |     139 |           149 |    158391
    32000 |     +0.0% |      10 |     181 |           180 |    157391
    33000 |     +0.0% |      10 |     181 |           180 |    156391
    34000 |     +0.0% |      10 |     182 |           181 |    155391
    35000 |     +0.0% |      10 |     182 |           181 |    154391
    36000 |     +0.0% |      10 |     182 |           181 |    153391
    37000 |     +0.0% |      10 |     182 |           181 |    152391
    38000 |     +0.0% |      10 |     182 |           181 |    151391
    39000 |     +0.0% |      10 |     182 |           181 |    150391
    40000 |     +0.0% |      10 |     182 |           181 |    149391
    41000 |     +0.0% |      10 |     182 |           181 |    148391
    42000 |     +0.0% |      10 |     182 |           181 |    147391
    43000 |     +0.0% |      10 |     182 |           181 |    146391
    44000 |     +0.0% |      10 |     182 |           181 |    145391
    45000 |     +0.0% |      10 |     182 |           181 |    144391
    46000 |     +0.0% |      10 |     183 |           182 |    143391
    47000 |     +0.0% |      10 |     183 |           182 |    142391
    48000 |     +0.0% |      10 |     184 |           183 |    141391
    49000 |     +0.0% |      10 |     184 |           183 |    140391
    50000 |     +0.0% |      10 |     185 |           184 |    139391
    51000 |     +0.0% |      10 |     185 |           184 |    138391
    52000 |     +0.0% |      10 |     187 |           186 |    137391
    53000 |     +0.0% |      10 |     187 |           186 |    136391
    54000 |     +0.0% |      10 |     187 |           186 |    135391
    55000 |     +0.0% |      10 |     187 |           186 |    134391
    56000 |     +0.0% |      10 |     187 |           186 |    133391
    57000 |     +0.0% |      10 |     187 |           186 |    132391
    58000 |     +0.0% |      10 |     187 |           186 |    131391
    59000 |     +0.0% |      10 |     187 |           186 |    130391
    60000 |     +0.0% |      10 |     187 |           186 |    129391
    61000 |     +0.0% |      10 |     187 |           186 |    128391
    62000 |     +0.0% |      10 |     188 |           187 |    127391
    63000 |     +0.0% |      10 |     188 |           187 |    126391
    64000 |     +0.0% |      10 |     188 |           187 |    125391
    65000 |     +0.0% |      10 |     188 |           187 |    124391
    66000 |     +0.0% |      10 |     188 |           187 |    123391
    67000 |     +0.1% |      10 |     198 |           197 |    122391
    68000 |     +0.1% |      10 |     198 |           197 |    121391
    69000 |     +0.1% |      10 |     198 |           197 |    120391
    70000 |     +0.1% |      10 |     198 |           197 |    119391
    71000 |     +0.1% |      10 |     198 |           197 |    118391
    72000 |     +0.1% |      10 |     223 |           222 |    117391
    73000 |     +0.1% |      10 |     223 |           222 |    116391
    74000 |     +0.1% |      10 |     223 |           222 |    115391
    75000 |     +0.1% |      10 |     223 |           222 |    114391
    76000 |     +0.1% |      10 |     224 |           223 |    113391
    77000 |     +0.1% |      10 |     232 |           231 |    112391
    78000 |     +0.1% |      10 |     232 |           231 |    111391
    79000 |     +0.1% |      10 |     232 |           231 |    110391
    80000 |     +0.1% |      10 |     232 |           231 |    109391
    81000 |     +0.1% |      10 |     232 |           231 |    108391
    82000 |     +0.1% |      10 |     232 |           231 |    107391
    83000 |     +0.1% |      10 |     247 |           246 |    106391
    84000 |     +0.1% |      10 |     247 |           246 |    105391
    85000 |     +0.1% |      10 |     247 |           246 |    104391
    86000 |     +0.1% |      10 |     247 |           246 |    103391
    87000 |     +0.1% |      10 |     247 |           246 |    102391
    88000 |     +0.1% |      10 |     247 |           246 |    101391
    89000 |     +0.1% |      10 |     247 |           246 |    100391
    90000 |     +0.1% |      10 |     250 |           249 |     99391
    91000 |     +0.1% |      10 |     250 |           249 |     98391
    92000 |     +0.1% |      10 |     250 |           249 |     97391
    93000 |     +0.1% |      10 |     250 |           249 |     96391
    94000 |     +0.1% |      10 |     250 |           249 |     95391
    95000 |     +0.1% |      10 |     251 |           250 |     94391
    96000 |     +0.1% |      10 |     251 |           250 |     93391
    97000 |     +0.1% |      10 |     251 |           250 |     92391
    98000 |     +0.1% |      10 |     251 |           250 |     91391
    99000 |     +0.1% |      10 |     253 |           252 |     90391
   100000 |     +0.1% |      10 |     253 |           252 |     89391
   101000 |     +0.1% |      10 |     253 |           252 |     88391
   102000 |     +0.1% |      10 |     253 |           252 |     87391
   103000 |     +0.1% |      10 |     253 |           252 |     86391
   104000 |     +0.1% |      10 |     254 |           253 |     85391
   105000 |     +0.1% |      10 |     254 |           253 |     84391
   106000 |     +0.1% |      10 |     254 |           253 |     83391
   107000 |     +0.1% |      10 |     254 |           253 |     82391
   108000 |     +0.1% |      10 |     254 |           253 |     81391
   109000 |     +0.1% |      10 |     254 |           253 |     80391
   110000 |     +0.1% |      10 |     254 |           253 |     79391
   111000 |     +0.1% |      10 |     254 |           253 |     78391
   112000 |     +0.1% |      10 |     255 |           254 |     77391
   113000 |     +0.1% |      10 |     255 |           254 |     76391
   114000 |     +0.1% |      10 |     256 |           255 |     75391
   115000 |     +0.1% |      10 |     256 |           255 |     74391
   116000 |     +0.1% |      10 |     256 |           255 |     73391
   117000 |     +0.1% |      10 |     256 |           255 |     72391
   118000 |     +0.1% |      10 |     257 |           256 |     71391
   119000 |     +0.1% |      10 |     257 |           256 |     70391
   120000 |     +0.1% |      10 |     257 |           256 |     69391
   121000 |     +0.1% |      10 |     257 |           256 |     68391
   122000 |     +0.1% |      10 |     257 |           256 |     67391
   123000 |     +0.1% |      10 |     257 |           256 |     66391
   124000 |     +0.1% |      10 |     257 |           256 |     65391
   125000 |     +0.1% |      10 |     260 |           259 |     64391
   126000 |     +0.1% |      10 |     260 |           259 |     63391
   127000 |     +0.1% |      10 |     261 |           260 |     62391
   128000 |     +0.1% |      10 |     262 |           261 |     61391
   129000 |     +0.1% |      10 |     264 |           263 |     60391
   130000 |     +0.1% |      10 |     264 |           263 |     59391
   131000 |     +0.1% |      10 |     264 |           263 |     58391
   132000 |     +0.1% |      10 |     264 |           263 |     57391
   133000 |     +0.1% |      10 |     264 |           263 |     56391
   134000 |     +0.1% |      10 |     265 |           264 |     55391
   135000 |     +0.1% |      10 |     265 |           264 |     54391
   136000 |     +0.1% |      10 |     265 |           264 |     53391
   137000 |     +0.1% |      10 |     267 |           266 |     52391
   138000 |     +0.1% |      10 |     267 |           266 |     51391
   139000 |     +0.1% |      10 |     267 |           266 |     50391
   140000 |     +0.1% |      10 |     267 |           266 |     49391
   141000 |     +0.1% |      10 |     267 |           266 |     48391
   142000 |     +0.1% |      10 |     267 |           266 |     47391
   143000 |     +0.1% |      10 |     267 |           266 |     46391
   144000 |     +0.1% |      10 |     267 |           266 |     45391
   145000 |     +0.1% |      10 |     267 |           266 |     44391
   146000 |     +0.1% |      10 |     267 |           266 |     43391
   147000 |     +0.1% |      10 |     267 |           266 |     42391
   148000 |     +0.1% |      10 |     267 |           266 |     41391
   149000 |     +0.1% |      10 |     267 |           266 |     40391
   150000 |     +0.1% |      10 |     267 |           266 |     39391
   151000 |     +0.1% |      10 |     267 |           266 |     38391
   152000 |     +0.1% |      10 |     267 |           266 |     37391
   153000 |     +0.1% |      10 |     269 |           268 |     36391
   154000 |     +0.1% |      10 |     269 |           268 |     35391
   155000 |     +0.1% |      10 |     269 |           268 |     34391
   156000 |     +0.1% |      10 |     269 |           268 |     33391
   157000 |     +0.1% |      10 |     269 |           268 |     32391
   158000 |     +0.1% |      10 |     269 |           268 |     31391
   159000 |     +0.1% |      10 |     269 |           268 |     30391
   160000 |     +0.1% |      10 |     269 |           268 |     29391
   161000 |     +0.1% |      10 |     269 |           268 |     28391
   162000 |     +0.1% |      10 |     269 |           268 |     27391
   163000 |     +0.1% |      10 |     269 |           268 |     26391
   164000 |     +0.1% |      10 |     269 |           268 |     25391
   165000 |     +0.1% |      10 |     269 |           268 |     24391
   166000 |     +0.1% |      10 |     269 |           268 |     23391
   167000 |     +0.1% |      10 |     269 |           268 |     22391
   168000 |     +0.1% |      10 |     269 |           268 |     21391
   169000 |     +0.1% |      10 |     269 |           268 |     20391
   170000 |     +0.1% |      10 |     269 |           268 |     19391
   171000 |     +0.1% |      10 |     269 |           268 |     18391
   172000 |     +0.1% |      10 |     269 |           268 |     17391
   173000 |     +0.1% |      10 |     270 |           269 |     16391
   174000 |     +0.1% |      10 |     270 |           269 |     15391
   175000 |     +0.1% |      10 |     270 |           269 |     14391
   176000 |     +0.1% |      10 |     270 |           269 |     13391
   177000 |     +0.1% |      10 |     270 |           269 |     12391
   178000 |     +0.1% |      10 |     270 |           269 |     11391
   179000 |     +0.1% |      10 |     270 |           269 |     10391
   180000 |     +0.1% |      10 |     270 |           269 |      9391
   181000 |     +0.1% |      10 |     270 |           269 |      8391
   182000 |     +0.1% |      10 |     270 |           269 |      7391
   183000 |     +0.1% |      10 |     270 |           269 |      6391
   184000 |     +0.1% |      10 |     270 |           269 |      5391
   185000 |     +0.1% |      10 |     270 |           269 |      4391
   186000 |     +0.1% |      10 |     270 |           269 |      3391
   187000 |     +0.1% |      10 |     270 |           269 |      2391
   188000 |     +0.1% |      10 |     270 |           269 |      1391
   189000 |     +0.1% |      10 |     270 |           269 |       391
    final |     +0.1% |      10 |     270 |           269 |         0
---------------------------------------------------------------------
[INFO RSZ-0034] Found 203 slew violations.
[INFO RSZ-0036] Found 227 capacitance violations.
[INFO RSZ-0039] Resized 10 instances.
[INFO RSZ-0038] Inserted 270 buffers in 269 nets.
Took 29 seconds: repair_design -verbose
Floating nets: 
Report metrics stage 3, resizer...

==========================================================================
resizer report_design_area
--------------------------------------------------------------------------
Design area 720023 um^2 51% utilization.
Instance count before 173368, after 173638
Pin count before 609490, after 610030
write_db ./results/nangate45/ariane133/base/3_4_place_resized.odb
Elapsed time: 1:49.64[h:]min:sec. CPU time: user 183.07 sys 21.10 (186%). Peak memory: 1173428KB.
Log                        Elapsed/s Peak Memory/MB  sha1sum .odb [0:20)
3_4_place_resized                109           1145 03ce966ce146f551a195
