OpenROAD 26Q1-2900-gdf79404cd8 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/fakeram45_256x16.lib
read_db ./results/nangate45/ariane133/base/3_3_place_gp.odb
read_sdc ./results/nangate45/ariane133/base/2_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
estimate_parasitics -placement
Took 10 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    199191
     1000 |     +0.0% |       0 |       0 |             0 |    198191
     2000 |     +0.0% |       0 |       0 |             0 |    197191
     3000 |     +0.0% |       0 |       0 |             0 |    196191
     4000 |     +0.0% |       0 |       0 |             0 |    195191
     5000 |     +0.0% |       0 |       0 |             0 |    194191
     6000 |     +0.0% |       0 |       0 |             0 |    193191
     7000 |     +0.0% |       0 |       0 |             0 |    192191
     8000 |     +0.0% |       0 |       0 |             0 |    191191
     9000 |     +0.0% |       0 |       0 |             0 |    190191
    10000 |     +0.0% |       0 |       0 |             0 |    189191
    11000 |     +0.0% |       0 |       0 |             0 |    188191
    12000 |     +0.0% |       0 |       0 |             0 |    187191
    13000 |     +0.0% |       0 |       0 |             0 |    186191
    14000 |     +0.0% |       0 |       0 |             0 |    185191
    15000 |     +0.0% |       0 |       0 |             0 |    184191
    16000 |     +0.0% |       0 |       0 |             0 |    183191
    17000 |     +0.0% |       0 |       0 |             0 |    182191
    18000 |     +0.0% |       0 |       0 |             0 |    181191
    19000 |     +0.0% |       0 |       0 |             0 |    180191
    20000 |     +0.0% |       0 |       0 |             0 |    179191
    21000 |     +0.0% |       0 |       0 |             0 |    178191
    22000 |     +0.0% |       0 |       0 |             0 |    177191
    23000 |     +0.0% |       0 |       0 |             0 |    176191
    24000 |     +0.0% |       0 |       0 |             0 |    175191
    25000 |     +0.0% |       0 |       0 |             0 |    174191
    26000 |     +0.0% |       0 |       4 |             4 |    173191
    27000 |     +0.0% |       0 |      14 |            14 |    172191
    28000 |     +0.0% |       0 |      14 |            14 |    171191
    29000 |     +0.0% |       0 |      14 |            14 |    170191
    30000 |     +0.0% |       0 |      14 |            22 |    169191
    31000 |     +0.0% |       0 |      21 |            33 |    168191
    32000 |     +0.0% |       0 |      24 |            36 |    167191
    33000 |     +0.0% |       0 |      28 |            42 |    166191
    34000 |     +0.0% |       0 |      28 |            42 |    165191
    35000 |     +0.0% |       0 |      39 |            53 |    164191
    36000 |     +0.0% |       0 |      39 |            53 |    163191
    37000 |     +0.0% |       0 |      50 |            64 |    162191
    38000 |     +0.0% |       0 |      50 |            64 |    161191
    39000 |     +0.0% |       0 |      59 |            73 |    160191
    40000 |     +0.0% |       0 |      62 |            76 |    159191
    41000 |     +0.0% |       0 |      62 |            76 |    158191
    42000 |     +0.0% |       0 |      62 |            76 |    157191
    43000 |     +0.0% |       0 |      62 |            76 |    156191
    44000 |     +0.0% |       0 |      62 |            76 |    155191
    45000 |     +0.0% |       0 |      62 |            76 |    154191
    46000 |     +0.0% |       0 |      62 |            76 |    153191
    47000 |     +0.0% |       0 |      62 |            76 |    152191
    48000 |     +0.0% |       0 |      65 |            79 |    151191
    49000 |     +0.0% |       0 |      67 |            81 |    150191
    50000 |     +0.0% |       0 |      67 |            81 |    149191
    51000 |     +0.0% |       0 |      71 |            85 |    148191
    52000 |     +0.0% |       0 |      71 |            85 |    147191
    53000 |     +0.0% |       1 |      72 |            86 |    146191
    54000 |     +0.0% |       1 |      73 |            87 |    145191
    55000 |     +0.0% |       1 |      73 |            87 |    144191
    56000 |     +0.0% |       1 |      73 |            87 |    143191
    57000 |     +0.0% |       1 |      73 |            87 |    142191
    58000 |     +0.0% |       1 |      74 |            88 |    141191
    59000 |     +0.0% |       1 |      74 |            88 |    140191
    60000 |     +0.0% |       1 |      74 |            88 |    139191
    61000 |     +0.0% |       1 |      75 |            89 |    138191
    62000 |     +0.0% |       1 |      75 |            89 |    137191
    63000 |     +0.0% |       1 |      75 |            89 |    136191
    64000 |     +0.0% |       1 |      75 |            89 |    135191
    65000 |     +0.0% |       1 |      75 |            89 |    134191
    66000 |     +0.0% |       1 |      75 |            89 |    133191
    67000 |     +0.0% |       1 |      75 |            89 |    132191
    68000 |     +0.0% |       1 |      75 |            89 |    131191
    69000 |     +0.0% |       1 |      75 |            89 |    130191
    70000 |     +0.0% |       1 |      75 |            89 |    129191
    71000 |     +0.0% |       1 |      75 |            89 |    128191
    72000 |     +0.0% |       1 |      94 |           108 |    127191
    73000 |     +0.0% |       1 |      94 |           108 |    126191
    74000 |     +0.0% |       1 |      94 |           108 |    125191
    75000 |     +0.0% |       1 |      94 |           108 |    124191
    76000 |     +0.0% |       1 |      94 |           108 |    123191
    77000 |     +0.0% |       1 |     111 |           125 |    122191
    78000 |     +0.0% |       1 |     111 |           125 |    121191
    79000 |     +0.0% |       1 |     121 |           135 |    120191
    80000 |     +0.0% |       1 |     121 |           135 |    119191
    81000 |     +0.0% |       1 |     121 |           135 |    118191
    82000 |     +0.0% |       3 |     159 |           173 |    117191
    83000 |     +0.0% |       3 |     159 |           173 |    116191
    84000 |     +0.0% |       3 |     170 |           184 |    115191
    85000 |     +0.0% |       3 |     170 |           184 |    114191
    86000 |     +0.0% |       3 |     170 |           184 |    113191
    87000 |     +0.0% |      10 |     191 |           204 |    112191
    88000 |     +0.0% |      10 |     191 |           204 |    111191
    89000 |     +0.0% |      10 |     191 |           204 |    110191
    90000 |     +0.0% |      10 |     195 |           208 |    109191
    91000 |     +0.0% |      10 |     195 |           208 |    108191
    92000 |     +0.0% |      10 |     195 |           208 |    107191
    93000 |     +0.1% |      18 |     209 |           222 |    106191
    94000 |     +0.1% |      18 |     209 |           222 |    105191
    95000 |     +0.1% |      18 |     209 |           222 |    104191
    96000 |     +0.1% |      18 |     209 |           222 |    103191
    97000 |     +0.1% |      18 |     211 |           224 |    102191
    98000 |     +0.1% |      18 |     211 |           224 |    101191
    99000 |     +0.1% |      18 |     211 |           224 |    100191
   100000 |     +0.1% |      18 |     212 |           225 |     99191
