OpenROAD 26Q1-2900-gdf79404cd8 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/fakeram45_256x16.lib
read_db ./results/nangate45/ariane133/base/3_3_place_gp.odb
read_sdc ./results/nangate45/ariane133/base/2_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
estimate_parasitics -placement
Took 11 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    200809
     1000 |     +0.0% |       0 |       0 |             0 |    199809
     2000 |     +0.0% |       0 |       0 |             0 |    198809
     3000 |     +0.0% |       0 |       0 |             0 |    197809
     4000 |     +0.0% |       0 |       0 |             0 |    196809
     5000 |     +0.0% |       0 |       0 |             0 |    195809
     6000 |     +0.0% |       0 |       0 |             0 |    194809
     7000 |     +0.0% |       0 |       0 |             0 |    193809
     8000 |     +0.0% |       0 |       0 |             0 |    192809
     9000 |     +0.0% |       0 |       0 |             0 |    191809
    10000 |     +0.0% |       0 |       0 |             0 |    190809
    11000 |     +0.0% |       0 |       0 |             0 |    189809
    12000 |     +0.0% |       0 |       0 |             0 |    188809
    13000 |     +0.0% |       0 |       0 |             0 |    187809
    14000 |     +0.0% |       0 |       0 |             0 |    186809
    15000 |     +0.0% |       0 |       0 |             0 |    185809
    16000 |     +0.0% |       0 |       0 |             0 |    184809
    17000 |     +0.0% |       0 |       0 |             0 |    183809
    18000 |     +0.0% |       0 |       0 |             0 |    182809
    19000 |     +0.0% |       0 |       0 |             0 |    181809
    20000 |     +0.0% |       0 |       1 |             1 |    180809
    21000 |     +0.0% |       0 |       1 |             1 |    179809
    22000 |     +0.0% |       0 |       1 |             1 |    178809
    23000 |     +0.0% |       0 |       1 |             1 |    177809
    24000 |     +0.0% |       0 |       1 |             1 |    176809
    25000 |     +0.0% |       0 |       1 |             1 |    175809
    26000 |     +0.0% |       0 |       1 |             1 |    174809
    27000 |     +0.0% |       0 |       2 |             2 |    173809
    28000 |     +0.0% |       0 |       2 |             2 |    172809
    29000 |     +0.0% |       0 |       2 |             2 |    171809
    30000 |     +0.0% |       0 |       3 |            18 |    170809
    31000 |     +0.0% |       0 |       5 |            28 |    169809
    32000 |     +0.0% |       0 |      15 |            54 |    168809
    33000 |     +0.0% |       0 |      23 |            66 |    167809
    34000 |     +0.0% |       0 |      35 |            85 |    166809
    35000 |     +0.0% |       0 |      61 |           111 |    165809
    36000 |     +0.0% |       0 |      61 |           111 |    164809
    37000 |     +0.0% |       0 |      69 |           122 |    163809
    38000 |     +0.0% |       0 |      69 |           122 |    162809
    39000 |     +0.0% |       0 |      93 |           148 |    161809
    40000 |     +0.0% |       0 |      94 |           149 |    160809
    41000 |     +0.0% |       0 |      95 |           151 |    159809
    42000 |     +0.0% |       0 |      95 |           151 |    158809
    43000 |     +0.0% |       0 |      97 |           153 |    157809
    44000 |     +0.0% |       0 |      98 |           154 |    156809
    45000 |     +0.0% |       0 |      99 |           155 |    155809
    46000 |     +0.0% |       0 |      99 |           155 |    154809
    47000 |     +0.0% |       0 |     100 |           156 |    153809
    48000 |     +0.0% |       0 |     100 |           156 |    152809
    49000 |     +0.0% |       0 |     100 |           156 |    151809
    50000 |     +0.0% |       0 |     100 |           156 |    150809
    51000 |     +0.0% |       0 |     101 |           157 |    149809
    52000 |     +0.0% |       0 |     101 |           157 |    148809
    53000 |     +0.0% |       0 |     101 |           157 |    147809
    54000 |     +0.0% |       0 |     101 |           157 |    146809
    55000 |     +0.0% |       0 |     101 |           157 |    145809
    56000 |     +0.0% |       0 |     101 |           157 |    144809
    57000 |     +0.0% |       0 |     101 |           157 |    143809
    58000 |     +0.0% |       0 |     101 |           157 |    142809
    59000 |     +0.0% |       0 |     101 |           157 |    141809
    60000 |     +0.0% |       0 |     103 |           159 |    140809
    61000 |     +0.0% |       0 |     103 |           159 |    139809
    62000 |     +0.0% |       0 |     104 |           160 |    138809
    63000 |     +0.0% |       0 |     104 |           160 |    137809
    64000 |     +0.0% |       0 |     104 |           160 |    136809
    65000 |     +0.0% |       0 |     104 |           160 |    135809
    66000 |     +0.0% |       0 |     105 |           161 |    134809
    67000 |     +0.0% |       0 |     105 |           161 |    133809
    68000 |     +0.0% |       0 |     106 |           162 |    132809
    69000 |     +0.0% |       0 |     106 |           162 |    131809
    70000 |     +0.0% |       0 |     106 |           162 |    130809
    71000 |     +0.0% |       0 |     106 |           162 |    129809
    72000 |     +0.0% |       0 |     106 |           162 |    128809
    73000 |     +0.0% |       0 |     116 |           175 |    127809
    74000 |     +0.0% |       0 |     120 |           179 |    126809
    75000 |     +0.0% |       0 |     120 |           179 |    125809
    76000 |     +0.0% |       0 |     120 |           179 |    124809
    77000 |     +0.0% |       0 |     164 |           223 |    123809
    78000 |     +0.0% |       0 |     165 |           224 |    122809
    79000 |     +0.0% |       0 |     165 |           224 |    121809
    80000 |     +0.0% |       0 |     168 |           227 |    120809
    81000 |     +0.0% |       0 |     168 |           227 |    119809
    82000 |     +0.0% |       0 |     170 |           229 |    118809
    83000 |     +0.0% |       0 |     170 |           229 |    117809
    84000 |     +0.0% |       0 |     170 |           229 |    116809
    85000 |     +0.0% |       0 |     170 |           229 |    115809
    86000 |     +0.0% |       0 |     170 |           229 |    114809
    87000 |     +0.0% |       0 |     171 |           230 |    113809
    88000 |     +0.0% |       0 |     172 |           231 |    112809
    89000 |     +0.0% |       0 |     172 |           231 |    111809
    90000 |     +0.0% |       0 |     172 |           231 |    110809
    91000 |     +0.0% |       0 |     173 |           232 |    109809
    92000 |     +0.0% |       0 |     173 |           232 |    108809
    93000 |     +0.0% |       0 |     173 |           232 |    107809
    94000 |     +0.0% |       0 |     174 |           233 |    106809
    95000 |     +0.0% |       0 |     174 |           233 |    105809
    96000 |     +0.0% |       0 |     174 |           233 |    104809
    97000 |     +0.0% |       0 |     174 |           233 |    103809
    98000 |     +0.0% |       0 |     174 |           233 |    102809
    99000 |     +0.0% |       0 |     175 |           234 |    101809
   100000 |     +0.0% |       0 |     175 |           234 |    100809
   101000 |     +0.0% |       0 |     175 |           234 |     99809
   102000 |     +0.0% |       0 |     175 |           234 |     98809
   103000 |     +0.0% |       0 |     176 |           235 |     97809
   104000 |     +0.0% |       0 |     176 |           235 |     96809
   105000 |     +0.0% |       0 |     176 |           235 |     95809
   106000 |     +0.0% |       0 |     176 |           235 |     94809
   107000 |     +0.0% |       0 |     177 |           236 |     93809
   108000 |     +0.0% |       0 |     177 |           236 |     92809
   109000 |     +0.0% |       0 |     177 |           236 |     91809
   110000 |     +0.0% |       0 |     177 |           236 |     90809
   111000 |     +0.0% |       0 |     180 |           239 |     89809
   112000 |     +0.0% |       0 |     182 |           241 |     88809
   113000 |     +0.0% |       0 |     182 |           241 |     87809
   114000 |     +0.0% |       0 |     182 |           241 |     86809
   115000 |     +0.0% |       0 |     182 |           241 |     85809
   116000 |     +0.0% |       0 |     182 |           241 |     84809
   117000 |     +0.0% |       0 |     182 |           241 |     83809
   118000 |     +0.0% |       0 |     182 |           241 |     82809
   119000 |     +0.0% |       0 |     182 |           241 |     81809
   120000 |     +0.0% |       0 |     184 |           243 |     80809
   121000 |     +0.0% |       0 |     184 |           243 |     79809
   122000 |     +0.0% |       0 |     184 |           243 |     78809
   123000 |     +0.0% |       0 |     184 |           243 |     77809
   124000 |     +0.0% |       0 |     184 |           243 |     76809
   125000 |     +0.0% |       0 |     184 |           243 |     75809
   126000 |     +0.0% |       0 |     184 |           243 |     74809
   127000 |     +0.0% |       0 |     184 |           243 |     73809
   128000 |     +0.0% |       0 |     185 |           244 |     72809
   129000 |     +0.0% |       0 |     187 |           246 |     71809
   130000 |     +0.0% |       0 |     187 |           246 |     70809
   131000 |     +0.0% |       0 |     187 |           246 |     69809
   132000 |     +0.0% |       0 |     187 |           246 |     68809
   133000 |     +0.0% |       0 |     187 |           246 |     67809
   134000 |     +0.0% |       0 |     187 |           246 |     66809
   135000 |     +0.0% |       0 |     187 |           246 |     65809
   136000 |     +0.0% |       0 |     187 |           246 |     64809
   137000 |     +0.0% |       0 |     187 |           246 |     63809
   138000 |     +0.0% |       0 |     189 |           248 |     62809
   139000 |     +0.0% |       0 |     189 |           248 |     61809
   140000 |     +0.0% |       0 |     189 |           248 |     60809
   141000 |     +0.0% |       0 |     190 |           249 |     59809
   142000 |     +0.0% |       0 |     190 |           249 |     58809
   143000 |     +0.0% |       0 |     190 |           249 |     57809
   144000 |     +0.0% |       0 |     190 |           249 |     56809
   145000 |     +0.0% |       0 |     190 |           249 |     55809
   146000 |     +0.0% |       0 |     190 |           249 |     54809
   147000 |     +0.0% |       0 |     190 |           249 |     53809
   148000 |     +0.0% |       0 |     191 |           250 |     52809
   149000 |     +0.0% |       0 |     191 |           250 |     51809
   150000 |     +0.0% |       0 |     191 |           250 |     50809
   151000 |     +0.0% |       0 |     191 |           250 |     49809
   152000 |     +0.0% |       0 |     191 |           250 |     48809
   153000 |     +0.0% |       0 |     192 |           251 |     47809
   154000 |     +0.0% |       0 |     192 |           251 |     46809
   155000 |     +0.0% |       0 |     192 |           251 |     45809
   156000 |     +0.0% |       0 |     192 |           251 |     44809
   157000 |     +0.0% |       0 |     192 |           251 |     43809
   158000 |     +0.0% |       0 |     192 |           251 |     42809
   159000 |     +0.0% |       0 |     192 |           251 |     41809
   160000 |     +0.0% |       0 |     192 |           251 |     40809
   161000 |     +0.0% |       0 |     192 |           251 |     39809
   162000 |     +0.0% |       0 |     192 |           251 |     38809
   163000 |     +0.0% |       0 |     192 |           251 |     37809
   164000 |     +0.0% |       0 |     192 |           251 |     36809
   165000 |     +0.0% |       0 |     193 |           252 |     35809
   166000 |     +0.0% |       0 |     193 |           252 |     34809
   167000 |     +0.0% |       0 |     193 |           252 |     33809
   168000 |     +0.0% |       0 |     193 |           252 |     32809
   169000 |     +0.0% |       0 |     193 |           252 |     31809
   170000 |     +0.0% |       0 |     193 |           252 |     30809
   171000 |     +0.0% |       0 |     193 |           252 |     29809
   172000 |     +0.0% |       0 |     193 |           252 |     28809
   173000 |     +0.0% |       0 |     193 |           252 |     27809
   174000 |     +0.0% |       0 |     193 |           252 |     26809
   175000 |     +0.0% |       0 |     193 |           252 |     25809
   176000 |     +0.0% |       0 |     193 |           252 |     24809
   177000 |     +0.0% |       0 |     193 |           252 |     23809
   178000 |     +0.0% |       0 |     193 |           252 |     22809
   179000 |     +0.0% |       0 |     193 |           252 |     21809
   180000 |     +0.0% |       0 |     193 |           252 |     20809
