OpenROAD 26Q1-2900-gdf79404cd8 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/fakeram45_256x16.lib
read_db ./results/nangate45/ariane133/base/3_3_place_gp.odb
read_sdc ./results/nangate45/ariane133/base/2_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
estimate_parasitics -placement
Took 11 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    200646
     1000 |     +0.0% |       0 |       0 |             0 |    199646
     2000 |     +0.0% |       0 |       0 |             0 |    198646
     3000 |     +0.0% |       0 |       0 |             0 |    197646
     4000 |     +0.0% |       0 |       0 |             0 |    196646
     5000 |     +0.0% |       0 |       0 |             0 |    195646
     6000 |     +0.0% |       0 |       0 |             0 |    194646
     7000 |     +0.0% |       0 |       0 |             0 |    193646
     8000 |     +0.0% |       0 |       0 |             0 |    192646
     9000 |     +0.0% |       0 |       0 |             0 |    191646
    10000 |     +0.0% |       0 |       0 |             0 |    190646
    11000 |     +0.0% |       0 |       0 |             0 |    189646
    12000 |     +0.0% |       0 |       0 |             0 |    188646
    13000 |     +0.0% |       0 |       0 |             0 |    187646
    14000 |     +0.0% |       0 |       0 |             0 |    186646
    15000 |     +0.0% |       0 |       0 |             0 |    185646
    16000 |     +0.0% |       0 |       0 |             0 |    184646
    17000 |     +0.0% |       0 |       0 |             0 |    183646
    18000 |     +0.0% |       0 |       0 |             0 |    182646
    19000 |     +0.0% |       0 |       0 |             0 |    181646
    20000 |     +0.0% |       0 |       0 |             0 |    180646
    21000 |     +0.0% |       0 |       0 |             0 |    179646
    22000 |     +0.0% |       0 |       0 |             0 |    178646
    23000 |     +0.0% |       0 |       0 |             0 |    177646
    24000 |     +0.0% |       0 |       0 |             0 |    176646
    25000 |     +0.0% |       0 |       0 |             0 |    175646
    26000 |     +0.0% |       0 |       0 |             0 |    174646
    27000 |     +0.0% |       0 |       6 |             6 |    173646
    28000 |     +0.0% |       0 |       8 |             8 |    172646
    29000 |     +0.0% |       0 |      11 |            11 |    171646
    30000 |     +0.0% |       0 |      18 |            20 |    170646
    31000 |     +0.0% |       0 |      22 |            26 |    169646
    32000 |     +0.0% |       0 |      37 |            44 |    168646
    33000 |     +0.0% |       0 |      75 |            82 |    167646
    34000 |     +0.0% |       0 |      75 |            82 |    166646
    35000 |     +0.0% |       0 |      80 |            87 |    165646
    36000 |     +0.0% |       0 |      80 |            87 |    164646
    37000 |     +0.0% |       0 |      86 |            92 |    163646
    38000 |     +0.0% |       0 |      86 |            92 |    162646
    39000 |     +0.0% |       0 |      86 |            92 |    161646
    40000 |     +0.0% |       0 |      87 |            93 |    160646
    41000 |     +0.0% |       0 |      90 |            96 |    159646
    42000 |     +0.0% |       0 |      90 |            96 |    158646
    43000 |     +0.0% |       0 |      90 |            96 |    157646
    44000 |     +0.0% |       0 |      91 |            97 |    156646
    45000 |     +0.0% |       0 |      91 |            97 |    155646
    46000 |     +0.0% |       0 |      91 |            97 |    154646
    47000 |     +0.0% |       0 |      92 |            98 |    153646
    48000 |     +0.0% |       0 |      92 |            98 |    152646
    49000 |     +0.0% |       0 |      93 |            99 |    151646
    50000 |     +0.0% |       0 |      94 |           100 |    150646
    51000 |     +0.0% |       0 |      94 |           100 |    149646
    52000 |     +0.0% |       0 |      94 |           100 |    148646
    53000 |     +0.0% |       0 |      94 |           100 |    147646
    54000 |     +0.0% |       0 |      94 |           100 |    146646
    55000 |     +0.0% |       0 |      96 |           102 |    145646
    56000 |     +0.0% |       0 |      97 |           103 |    144646
    57000 |     +0.0% |       0 |      97 |           103 |    143646
    58000 |     +0.0% |       0 |      97 |           103 |    142646
    59000 |     +0.0% |       0 |      97 |           103 |    141646
    60000 |     +0.0% |       0 |      97 |           103 |    140646
    61000 |     +0.0% |       0 |      97 |           103 |    139646
    62000 |     +0.0% |       0 |      97 |           103 |    138646
    63000 |     +0.0% |       0 |      97 |           103 |    137646
    64000 |     +0.0% |       0 |      97 |           103 |    136646
    65000 |     +0.0% |       0 |      97 |           103 |    135646
    66000 |     +0.0% |       0 |      97 |           103 |    134646
    67000 |     +0.0% |       0 |      97 |           103 |    133646
    68000 |     +0.0% |       0 |      97 |           103 |    132646
    69000 |     +0.0% |       0 |      98 |           104 |    131646
    70000 |     +0.0% |       0 |      98 |           104 |    130646
    71000 |     +0.0% |       0 |      98 |           104 |    129646
    72000 |     +0.0% |       0 |      98 |           104 |    128646
    73000 |     +0.0% |       0 |      98 |           104 |    127646
    74000 |     +0.0% |       0 |      98 |           104 |    126646
    75000 |     +0.0% |       0 |      98 |           104 |    125646
    76000 |     +0.0% |       0 |      99 |           105 |    124646
    77000 |     +0.0% |       0 |      99 |           105 |    123646
    78000 |     +0.0% |       0 |      99 |           105 |    122646
    79000 |     +0.0% |       0 |      99 |           105 |    121646
    80000 |     +0.0% |       0 |      99 |           105 |    120646
    81000 |     +0.0% |       0 |      99 |           105 |    119646
    82000 |     +0.0% |       0 |     100 |           106 |    118646
    83000 |     +0.0% |       0 |     100 |           106 |    117646
    84000 |     +0.0% |       0 |     100 |           106 |    116646
    85000 |     +0.0% |       0 |     100 |           106 |    115646
    86000 |     +0.0% |       0 |     100 |           106 |    114646
    87000 |     +0.0% |       0 |     100 |           106 |    113646
    88000 |     +0.0% |       0 |     100 |           106 |    112646
    89000 |     +0.0% |       0 |     100 |           106 |    111646
    90000 |     +0.0% |       0 |     100 |           106 |    110646
    91000 |     +0.0% |       0 |     100 |           106 |    109646
    92000 |     +0.0% |       0 |     103 |           109 |    108646
    93000 |     +0.0% |       0 |     103 |           109 |    107646
    94000 |     +0.0% |       0 |     104 |           110 |    106646
    95000 |     +0.0% |       0 |     104 |           110 |    105646
    96000 |     +0.0% |       0 |     113 |           119 |    104646
    97000 |     +0.0% |       0 |     113 |           119 |    103646
    98000 |     +0.0% |       0 |     113 |           119 |    102646
    99000 |     +0.0% |       0 |     139 |           145 |    101646
   100000 |     +0.0% |       0 |     139 |           145 |    100646
   101000 |     +0.0% |       0 |     139 |           145 |     99646
   102000 |     +0.0% |       0 |     139 |           145 |     98646
   103000 |     +0.0% |       0 |     150 |           156 |     97646
   104000 |     +0.0% |       0 |     150 |           156 |     96646
   105000 |     +0.0% |       0 |     150 |           156 |     95646
   106000 |     +0.0% |       1 |     158 |           165 |     94646
   107000 |     +0.0% |       1 |     158 |           165 |     93646
   108000 |     +0.0% |       1 |     158 |           165 |     92646
   109000 |     +0.0% |       1 |     158 |           165 |     91646
   110000 |     +0.0% |       1 |     158 |           165 |     90646
   111000 |     +0.0% |       1 |     159 |           166 |     89646
   112000 |     +0.0% |       1 |     161 |           168 |     88646
   113000 |     +0.0% |       1 |     162 |           169 |     87646
   114000 |     +0.0% |       1 |     162 |           169 |     86646
   115000 |     +0.0% |       1 |     162 |           169 |     85646
   116000 |     +0.0% |       1 |     162 |           169 |     84646
   117000 |     +0.0% |       1 |     162 |           169 |     83646
   118000 |     +0.0% |       1 |     162 |           169 |     82646
   119000 |     +0.0% |       1 |     166 |           173 |     81646
   120000 |     +0.0% |       1 |     166 |           173 |     80646
   121000 |     +0.0% |       1 |     166 |           173 |     79646
   122000 |     +0.0% |       1 |     168 |           175 |     78646
   123000 |     +0.0% |       1 |     168 |           175 |     77646
   124000 |     +0.0% |       1 |     168 |           175 |     76646
   125000 |     +0.0% |       1 |     169 |           176 |     75646
   126000 |     +0.0% |       1 |     170 |           177 |     74646
   127000 |     +0.0% |       1 |     170 |           177 |     73646
   128000 |     +0.0% |       1 |     170 |           177 |     72646
   129000 |     +0.0% |       1 |     170 |           177 |     71646
   130000 |     +0.0% |       1 |     170 |           177 |     70646
   131000 |     +0.0% |       1 |     170 |           177 |     69646
   132000 |     +0.0% |       1 |     172 |           179 |     68646
   133000 |     +0.0% |       1 |     173 |           180 |     67646
   134000 |     +0.0% |       1 |     173 |           180 |     66646
   135000 |     +0.0% |       1 |     173 |           180 |     65646
   136000 |     +0.0% |       1 |     173 |           180 |     64646
   137000 |     +0.0% |       1 |     174 |           181 |     63646
   138000 |     +0.0% |       1 |     175 |           182 |     62646
   139000 |     +0.0% |       1 |     176 |           183 |     61646
   140000 |     +0.0% |       1 |     177 |           184 |     60646
   141000 |     +0.0% |       1 |     177 |           184 |     59646
   142000 |     +0.0% |       1 |     178 |           185 |     58646
   143000 |     +0.0% |       1 |     179 |           186 |     57646
   144000 |     +0.0% |       1 |     181 |           188 |     56646
   145000 |     +0.0% |       1 |     182 |           189 |     55646
   146000 |     +0.0% |       1 |     182 |           189 |     54646
   147000 |     +0.0% |       1 |     182 |           189 |     53646
   148000 |     +0.0% |       1 |     182 |           189 |     52646
   149000 |     +0.0% |       1 |     182 |           189 |     51646
   150000 |     +0.0% |       1 |     182 |           189 |     50646
   151000 |     +0.0% |       1 |     182 |           189 |     49646
   152000 |     +0.0% |       1 |     182 |           189 |     48646
   153000 |     +0.0% |       1 |     182 |           189 |     47646
   154000 |     +0.0% |       1 |     182 |           189 |     46646
   155000 |     +0.0% |       1 |     182 |           189 |     45646
   156000 |     +0.0% |       1 |     182 |           189 |     44646
   157000 |     +0.0% |       1 |     182 |           189 |     43646
   158000 |     +0.0% |       1 |     182 |           189 |     42646
   159000 |     +0.0% |       1 |     182 |           189 |     41646
   160000 |     +0.0% |       1 |     182 |           189 |     40646
   161000 |     +0.0% |       1 |     182 |           189 |     39646
   162000 |     +0.0% |       1 |     182 |           189 |     38646
   163000 |     +0.0% |       1 |     182 |           189 |     37646
   164000 |     +0.0% |       1 |     182 |           189 |     36646
   165000 |     +0.0% |       1 |     182 |           189 |     35646
   166000 |     +0.0% |       1 |     182 |           189 |     34646
   167000 |     +0.0% |       1 |     182 |           189 |     33646
   168000 |     +0.0% |       1 |     182 |           189 |     32646
   169000 |     +0.0% |       1 |     182 |           189 |     31646
   170000 |     +0.0% |       1 |     182 |           189 |     30646
   171000 |     +0.0% |       1 |     182 |           189 |     29646
   172000 |     +0.0% |       1 |     182 |           189 |     28646
   173000 |     +0.0% |       1 |     182 |           189 |     27646
   174000 |     +0.0% |       1 |     182 |           189 |     26646
   175000 |     +0.0% |       1 |     182 |           189 |     25646
   176000 |     +0.0% |       1 |     182 |           189 |     24646
   177000 |     +0.0% |       1 |     182 |           189 |     23646
