OpenROAD 26Q1-2900-gdf79404cd8 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/fakeram45_256x16.lib
read_db ./results/nangate45/ariane133/base/2_1_floorplan.odb
read_sdc ./results/nangate45/ariane133/base/2_1_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
source /work/runs/run8_human_placement_400mhz/constraints/macro_placement.tcl
Run8 macro classify: icache_tag=12 icache_data=32 dcache_tag=24 dcache_data=64 total=132
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__data_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (27.320um, 1377.495um), (105.030um, 1418.095um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__data_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (125.030um, 1377.495um), (202.740um, 1418.095um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__data_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (202.740um, 1377.495um), (280.450um, 1418.095um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__data_sram.genblk1_0__i_ram/macro_mem_3 placed. Bounding box (300.450um, 1377.495um), (378.160um, 1418.095um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__data_sram.genblk1_1__i_ram/macro_mem_0 placed. Bounding box (378.160um, 1377.495um), (455.870um, 1418.095um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__data_sram.genblk1_1__i_ram/macro_mem_1 placed. Bounding box (475.870um, 1377.495um), (553.580um, 1418.095um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__data_sram.genblk1_1__i_ram/macro_mem_2 placed. Bounding box (553.580um, 1377.495um), (631.290um, 1418.095um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_0__data_sram.genblk1_1__i_ram/macro_mem_3 placed. Bounding box (651.290um, 1377.495um), (729.000um, 1418.095um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_1__data_sram.genblk1_0__i_ram/macro_mem_0 placed. Bounding box (729.000um, 1377.495um), (806.710um, 1418.095um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_1__data_sram.genblk1_0__i_ram/macro_mem_1 placed. Bounding box (826.710um, 1377.495um), (904.420um, 1418.095um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_1__data_sram.genblk1_0__i_ram/macro_mem_2 placed. Bounding box (904.420um, 1377.495um), (982.130um, 1418.095um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_1__data_sram.genblk1_0__i_ram/macro_mem_3 placed. Bounding box (1002.130um, 1377.495um), (1079.840um, 1418.095um). Orientation R0
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_1__data_sram.genblk1_1__i_ram/macro_mem_0 placed. Bounding box (1079.840um, 1377.495um), (1157.550um, 1418.095um). Orientation MY
[INFO MPL-0035] Macro i_cache_subsystem.i_nbdcache/sram_block_1__data_sram.genblk1_1__i_ram/macro_mem_1 placed. Bounding box (1177.550um, 1377.495um), (1255.260um, 1418.095um). Orientation R0
