OpenROAD 26Q1-2900-gdf79404cd8 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/NangateOpenCellLibrary_typical.lib
read_liberty /OpenROAD-flow-scripts/flow/platforms/nangate45/lib/fakeram45_256x16.lib
read_db ./results/nangate45/ariane133/base/3_3_place_gp.odb
read_sdc ./results/nangate45/ariane133/base/2_floorplan.sdc
source /OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
estimate_parasitics -placement
Took 11 seconds: estimate_parasitics -placement
Perform buffer insertion and gate resizing...
repair_design -verbose
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |    198358
     1000 |     +0.0% |       0 |       0 |             0 |    197358
     2000 |     +0.0% |       0 |       0 |             0 |    196358
     3000 |     +0.0% |       0 |       0 |             0 |    195358
     4000 |     +0.0% |       0 |       0 |             0 |    194358
     5000 |     +0.0% |       0 |       0 |             0 |    193358
     6000 |     +0.0% |       0 |       0 |             0 |    192358
     7000 |     +0.0% |       0 |       0 |             0 |    191358
     8000 |     +0.0% |       0 |       0 |             0 |    190358
     9000 |     +0.0% |       0 |       0 |             0 |    189358
    10000 |     +0.0% |       0 |       0 |             0 |    188358
    11000 |     +0.0% |       0 |       0 |             0 |    187358
    12000 |     +0.0% |       0 |       0 |             0 |    186358
    13000 |     +0.0% |       0 |       0 |             0 |    185358
    14000 |     +0.0% |       0 |       1 |             1 |    184358
    15000 |     +0.0% |       0 |       1 |             1 |    183358
    16000 |     +0.0% |       0 |       1 |             1 |    182358
    17000 |     +0.0% |       0 |       1 |             1 |    181358
    18000 |     +0.0% |       0 |       1 |             1 |    180358
    19000 |     +0.0% |       0 |       3 |             3 |    179358
    20000 |     +0.0% |       0 |       3 |             3 |    178358
